,asin,brand,title,url,rating,totalReviews,price,Review_URL,Price (Euros)
179,B072B7XSVT,Google,Google Pixel 1st Gen 32GB Factory Unlocked GSM/CDMA Smartphone for AT&T + T-Mobile + Verizon Wireless + Sprint (Quite Black),https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Carriers/dp/B072B7XSVT,3.3,33.0,169.99,http://www.amazon.com/reviews/B072B7XSVT,164.89
180,B072KPG9PN,Samsung,"Samsung Galaxy J3 Prime J327A 16GB 4G LTE 7.0 Nougat 5"" GSM Unlocked - Black",https://www.amazon.com/Samsung-J3-Factory-Unlocked-Phone/dp/B072KPG9PN,3.7,183.0,128.79,http://www.amazon.com/reviews/B072KPG9PN,124.93
181,B072MQRRTR,Samsung,Samsung Galaxy S8 64GB SM-G950U Midnight Black - Sprint (Renewed),https://www.amazon.com/Samsung-Galaxy-SM-G950U-Midnight-Black/dp/B072MQRRTR,3.2,9.0,299.95,http://www.amazon.com/reviews/B072MQRRTR,290.95
182,B072N3GKSM,Google,"Google Pixel GSM Unlocked (Renewed) (32GB, Gray)",https://www.amazon.com/Google-Pixel-Unlocked-Renewed-32GB/dp/B072N3GKSM,2.9,319.0,109.95,http://www.amazon.com/reviews/B072N3GKSM,106.65
183,B072QR6NKG,Samsung,Samsung Galaxy S8 64GB SM-G950U Orchid Gray - Sprint (Renewed),https://www.amazon.com/Samsung-Galaxy-64GB-SM-G950U-Orchid/dp/B072QR6NKG,3.9,11.0,309.95,http://www.amazon.com/reviews/B072QR6NKG,300.65
184,B072R77NG5,Motorola,Motorola Moto Z2 4G LTE XT1710-09 Dual Sim Unlocked 64GB 4GB RAM Octa Core Fingerprint 5.5 International Version,https://www.amazon.com/Motorola-XT1710-09-Unlocked-Fingerprint-International/dp/B072R77NG5,3.2,5.0,296.0,http://www.amazon.com/reviews/B072R77NG5,287.12
185,B072V2BNM6,Samsung,"Samsung Galaxy J3 Prime J327A | (16GB, 1.5 RAM) | 5"" Full HD Display | Dual Camera | 2,600 mAh Battery | Android 7.0 Nougat | 4G LTE | GSM Unlocked Smartphone - (Silver)",https://www.amazon.com/Samsung-Galaxy-Prime-Nougat-Unlocked/dp/B072V2BNM6,3.7,45.0,129.99,http://www.amazon.com/reviews/B072V2BNM6,126.09
186,B072ZWCKP5,Motorola,Motorola XT1775 Moto E Plus (4th Gen.) 32GB Unlocked Fine Gold Smartphone,https://www.amazon.com/Motorola-XT1775-Moto-Unlocked-Smartphone/dp/B072ZWCKP5,4.2,336.0,244.45,http://www.amazon.com/reviews/B072ZWCKP5,237.12
187,B0731HBTZ7,Apple,"Apple iPhone 7 32GB, Rose Gold (Renewed)",https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/dp/B0731HBTZ7,3.8,452.0,199.95,http://www.amazon.com/reviews/B0731HBTZ7,193.95
188,B0731KVYPN,Google,"Google Pixel GSM Unlocked (Renewed) (128GB, Silver)",https://www.amazon.com/Google-Pixel-Unlocked-Renewed-Silver/dp/B0731KVYPN,3.2,41.0,139.95,http://www.amazon.com/reviews/B0731KVYPN,135.75
189,B0732NTJ2M,Apple,"Apple iPhone 6S, 16GB, Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-16GB/dp/B0732NTJ2M,3.5,58.0,138.0,http://www.amazon.com/reviews/B0732NTJ2M,133.86
190,B0735HPCB1,Samsung,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue (Renewed),https://www.amazon.com/Samsung-Convoy-Rugged-Water-Resistant-Verizon/dp/B0735HPCB1,2.5,6.0,49.99,http://www.amazon.com/reviews/B0735HPCB1,48.49
191,B0743HD6MS,Apple,"Apple iPhone 7, 32GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-32GB/dp/B0743HD6MS,3.9,30.0,199.37,http://www.amazon.com/reviews/B0743HD6MS,193.39
192,B0743J3P8G,Samsung,Samsung Galaxy Tab 4 T237P 7.0-inch 16GB Sprint 4G LTE Android Tablet PC - Black (Certified Refurbished),https://www.amazon.com/Samsung-Galaxy-7-0-inch-Sprint-Android/dp/B0743J3P8G,1.0,1.0,138.95,http://www.amazon.com/reviews/B0743J3P8G,134.78
193,B0743N1S93,Samsung,Samsung Galaxy S7 G930A 32GB Unlocked GSM 4G LTE Quad-Core Phone w/ 12MP Camera - Rose Gold (Renewed),https://www.amazon.com/Samsung-Galaxy-Unlocked-Quad-Core-Camera/dp/B0743N1S93,4.5,6.0,167.99,http://www.amazon.com/reviews/B0743N1S93,162.95
194,B07455VT9F,Samsung,Samsung J327V Eclipse Verizon (Black),https://www.amazon.com/Samsung-J327V-Eclipse-Verizon-black/dp/B07455VT9F,4.2,16.0,139.0,http://www.amazon.com/reviews/B07455VT9F,134.83
195,B074MJ3Y7L,Samsung,Samsung Galaxy S7 Edge Verizon Wireless CDMA 4G LTE Smartphone w/ 12MP Camera and Infinity Screen - Silver,https://www.amazon.com/Samsung-Verizon-Wireless-Smartphone-Infinity/dp/B074MJ3Y7L,3.6,16.0,499.99,http://www.amazon.com/reviews/B074MJ3Y7L,484.99
196,B074MJDYZM,Samsung,Total Wireless Samsung Galaxy S8+ 4G LTE Prepaid Smartphone,https://www.amazon.com/Wireless-Samsung-Galaxy-S8-4G-LTE-Prepaid-Smartphone/dp/B074MJDYZM,5.0,2.0,743.48,http://www.amazon.com/reviews/B074MJDYZM,721.18
197,B074N8N1V4,Huawei,"Huawei Y5 Lite 2017 CRO-L23 5.0"" 4G LTE Quad Core 8GB 8MP Smarthphone Factory Unlocked (Grey) (International Version- No Warranty)",https://www.amazon.com/Huawei-Smarthphone-Unlocked-International-Version/dp/B074N8N1V4,4.1,12.0,89.9,http://www.amazon.com/reviews/B074N8N1V4,87.2
198,B074P62MW8,Sony,"Sony Xperia XZ1 Factory Unlocked Phone - 5.2"" Full HD HDR Display - 64GB - Venus Pink (U.S. Warranty)",https://www.amazon.com/Sony-Xperia-Factory-Unlocked-Phone/dp/B074P62MW8,3.8,81.0,269.99,http://www.amazon.com/reviews/B074P62MW8,261.89
199,B074PYHP6Q,Samsung,Samsung Galaxy S8 SM-G950UZVAATT - AT&T - Midnight Black (Renewed),https://www.amazon.com/Samsung-Galaxy-SM-G950UZVAATT-Certified-Refurbished/dp/B074PYHP6Q,2.8,4.0,269.99,http://www.amazon.com/reviews/B074PYHP6Q,261.89
201,B074VFCXB3,Motorola,"Motorola XT1806 Factory Unlocked Phone - 5.5"" Screen - 64GB - Blush Gold (U.S. Warranty)",https://www.amazon.com/Motorola-XT1806-Factory-Unlocked-Phone/dp/B074VFCXB3,4.5,10.0,299.99,http://www.amazon.com/reviews/B074VFCXB3,290.99
202,B074VFRKZG,Motorola,"Motorola Moto X4 Factory Unlocked Phone - 32GB - 5.2"" - Super Black - PA8S0006US",https://www.amazon.com/Motorola-Moto-Factory-Unlocked-Phone/dp/B074VFRKZG,4.1,184.0,261.84,http://www.amazon.com/reviews/B074VFRKZG,253.98
204,B0751KLN39,Motorola,Motorola Moto Z2 Play XT1710-06 - 64GB Single SIM Factory Unlocked Smartphone (Dark Gray - International Version),https://www.amazon.com/Motorola-Moto-Play-XT1710-06-International/dp/B0751KLN39,3.9,11.0,195.0,http://www.amazon.com/reviews/B0751KLN39,189.15
205,B07536MYBQ,Samsung,Samsung Galaxy Note8 N950U 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,https://www.amazon.com/Samsung-Galaxy-Unlocked-Android-Megapixel/dp/B07536MYBQ,3.9,546.0,866.36,http://www.amazon.com/reviews/B07536MYBQ,840.37
206,B0753QKW5L,Samsung,Samsung Galaxy Tab E 8in 16GB 4G LTE AT&T Unlocked Android 5.1.1 Lollipop (Renewed),https://www.amazon.com/Samsung-Unlocked-Lollipop-Certified-Refurbished/dp/B0753QKW5L,2.9,22.0,114.55,http://www.amazon.com/reviews/B0753QKW5L,111.11
207,B07579T83L,Nokia,Nokia 105 [2017] TA-1037 Only 2G Dual-Band (850/1900) Factory Unlocked Mobile Phone Black no warranty (White),https://www.amazon.com/Nokia-TA-1037-Dual-Band-Unlocked-warranty/dp/B07579T83L,3.0,133.0,34.99,http://www.amazon.com/reviews/B07579T83L,33.94
208,B0757LYR7P,Samsung,Samsung Galaxy S8 SM-G950UZSAVZW - Verizon - Coral Blue (Renewed) …,https://www.amazon.com/Samsung-Galaxy-SM-G950UZSAVZW-Certified-Refurbished/dp/B0757LYR7P,5.0,2.0,289.95,http://www.amazon.com/reviews/B0757LYR7P,281.25
209,B075FL4H89,Nokia,Nokia 3310 3G - Unlocked Single SIM Feature Phone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 2.4 Inch Screen - Charcoal,https://www.amazon.com/Nokia-3310-3G-Unlocked-T-Mobile/dp/B075FL4H89,3.4,497.0,54.99,http://www.amazon.com/reviews/B075FL4H89,53.34
